billno,po,description,blendPN,case_size,qty,bottle,cap,runtime,carton,starttime,line
092132GF,240487,Fabric Cleaner G/F             ,602016,6-32 Guala NON,50,WHITE 32oz sprayer,607503G-NON,0.33,604106,7.33,PD LINE,16
,, ,,,,,,1.5,,7.66,PD LINE,17
*** ALL GEL MSR & REGULAR MSR MUST RUN THROUGH PLASTIC MANIFOLD ***,,,,,,,,0,,9.16,PD LINE,18
085616P,240475,Mildew Stain Remover                                         ,602037,6-22 Guala NON,359,White 22oz,607503G-NON,1.5,604003RT,9.16,PD LINE,19
085616P,240476,Mildew Stain Remover                                         ,602037,6-22 Guala NON,1000,White 22oz,607503G-NON,5,604003RT,10.66,PD LINE,20
085616PC,240636,Mildew Stain Remover Canadian                             ,602037,6-22 Guala CRC,100,White 22oz,607503G-CRC,0.6,604003RT,15.66,PD LINE,21
,, ,,,,,,1.5,,16.26,PD LINE,22
085632,240238,Mildew Stain Remover  ,602037,6-32 Guala NON,300,WHITE 32oz sprayer,607503G-NON,1.5,604106,17.76,PD LINE,23
120032,240600,Mold & Mildew Stain Remover (MSR)             ,602037,6-32 Guala NON,75,WHITE 32oz sprayer,607503G-NON,0.5,604106,19.26,PD LINE,24
120032,240602,Mold & Mildew Stain Remover (MSR)             ,602037,6-32 Guala NON,75,WHITE 32oz sprayer,607503G-NON,0.5,604106,19.76,PD LINE,25
,, ,,,,,,1.5,,20.26,PD LINE,26
085606N,240824,Mildew Stain Remover 16oz sprayer   unique footprint for Walmart                   ,602037,4-16 Guala NON,4000,WHITE 16oz sprayer,607503G-NON,11,604116,21.76,PD LINE,27
098616FF-KITS,240824,GEL MSR Amazon FF - 607527VENT / TRAY PACK 1200  ,602602,16spr filled bottle,1200,SIKA 16oz sprayer,607527VENT,0.5555555555555555,,32.760000000000005,PD LINE,28
098616FF,240824,GEL MSR Amazon FF -    (uses 098616FF-KITS)   outer carton 604082,,6-16 Guala NON.,200,,607503G-NON,0,604081,33.31555555555556,PD LINE,29
098616,240601,GEL Mildew Stain Remover  - use MSR Pump & Filter,602602,6-16 Guala NON,150,SIKA 16oz sprayer,607503G-NON,0.75,604118,33.31555555555556,PD LINE,30
098616,240602,GEL Mildew Stain Remover  - use MSR Pump & Filter,602602,6-16 Guala NON,150,SIKA 16oz sprayer,607503G-NON,0.75,604118,34.06555555555556,PD LINE,31
,, ,,,,,,1.5,,34.81555555555556,PD LINE,32
